,City,Country,Date,Lat,Lng,Maximum Temperature,Humidity,Cloudiness,Wind Speed
51,Butaritari,KI,1596050087,3.07,172.79,28.27,76,9,7.53
52,Necoclí,CO,1596050163,8.42,-76.79,32,70,40,1.5
53,Baykit,RU,1596050113,61.67,96.37,14.6,89,92,2.65
54,Carnarvon,AU,1596049848,-24.87,113.63,15,100,0,3.6
55,Sidi Ali,DZ,1596050227,36.1,0.42,26.17,67,97,2.58
56,Cape Town,ZA,1596049822,-33.93,18.42,15,87,20,2.6
57,Mahabalipuram,IN,1596050227,12.63,80.17,27,94,75,1
58,Oktyabr'skoye,RU,1596050227,43.06,44.74,20,94,100,2
59,Honiara,SB,1596050150,-9.43,159.95,24,100,20,1.5
60,Churapcha,RU,1596050227,62,132.43,10.15,91,0,2.34
61,Hirara,JP,1596050227,24.8,125.28,29.75,79,100,8.88
62,Marabba,SD,1596050228,12.35,32.18,26.35,73,77,4.91
63,Faanui,PF,1596049924,-16.48,-151.75,26.64,76,100,8.8
64,Linxia Chengguanzhen,CN,1596050228,35.6,103.21,17.01,77,64,2.04
65,Paciran,ID,1596050228,-6.88,112.38,22.76,78,68,3.89
66,Atuona,PF,1596049964,-9.8,-139.03,26.26,76,29,9.92
67,Petropavlovsk-Kamchatskiy,RU,1596050147,53.05,158.65,14,71,100,2
68,Ugoofaaru,MV,1596050228,5.67,73,28.39,79,100,7.32
69,Kwinana,AU,1596050229,-32.25,115.77,11.67,100,0,1
70,Hermanus,ZA,1596049925,-34.42,19.23,9.44,91,0,5.42
71,Cherskiy,RU,1596050124,68.75,161.3,5.51,77,100,6.06
72,Bredasdorp,ZA,1596049928,-34.53,20.04,14,82,0,3.6
73,Albany,US,1596049965,42.6,-73.97,31.67,31,0,3.69
74,Upata,VE,1596050229,8.01,-62.4,28.52,77,99,1.01
75,Magrath,CA,1596050229,49.42,-112.87,26,65,5,3.1
76,Lorengau,PG,1596050144,-2.02,147.27,27.45,67,60,2.25
77,Berbera,SO,1596050142,10.44,45.01,32.64,52,65,4.09
78,Eydhafushi,MV,1596050230,5.1,73.07,28.31,78,100,8.03
79,Maniitsoq,GL,1596050230,65.42,-52.9,10.13,75,95,2.66
80,Los Llanos de Aridane,ES,1596050190,28.66,-17.92,24,73,40,6.7
81,Tagusao,PH,1596049926,9.19,117.81,26.69,80,100,3.61
82,Karratha,AU,1596050113,-20.74,116.85,19.76,48,0,3.29
83,Jamestown,US,1596049628,42.1,-79.24,23.89,93,90,4.1
84,Eyrarbakki,IS,1596050231,63.86,-21.15,12,81,75,1.5
85,Kungurtug,RU,1596049927,50.6,97.52,9.33,79,0,0.83
86,Nam Som,TH,1596050231,17.77,102.19,25.14,86,99,1.54
87,Birao,CF,1596050231,10.28,22.79,21.8,92,99,2.01
88,Laureles,US,1596050231,26.11,-97.49,30,69,1,4.1
89,Coahuayana Viejo,MX,1596050169,18.73,-103.68,28,74,75,0.65
90,Airai,TL,1596050175,-8.93,125.41,11.38,73,0,1.35
91,Peniche,PT,1596050232,39.36,-9.38,20,86,0,1.79
92,Hamilton,US,1596050074,39.18,-84.53,33.33,48,40,1.68
93,Miramar,US,1596050206,25.99,-80.23,33.33,59,40,5.7
94,Severo-Kuril'sk,RU,1596049924,50.68,156.12,11.26,88,61,6.67
95,Egvekinot,RU,1596050156,66.32,-179.17,8.9,95,100,1.98
96,Verkhoyansk,RU,1596050232,67.54,133.38,7.6,66,0,1.63
97,Aurora,US,1596050200,39.73,-104.83,32.78,20,20,3.1
98,Bruneck,IT,1596050232,46.8,11.94,20,82,40,0.9
99,Kahului,US,1596050127,20.89,-156.47,28,54,20,7.2
100,Sire,NG,1596050233,12.93,5.2,30.64,52,13,4.55
101,Saint Paul Harbor,US,1596050105,57.79,-152.41,17,63,1,2.1
102,Yellowknife,CA,1596049939,62.46,-114.35,20,56,75,4.1
103,Mar del Plata,AR,1596049950,-38,-57.56,13,43,0,3.1
104,Te Anau,NZ,1596050129,-45.42,167.72,9.69,85,100,2.69
105,Arraial do Cabo,BR,1596050086,-22.97,-42.03,25,78,40,5.1
106,Lompoc,US,1596049968,34.64,-120.46,20.56,77,1,2.1
107,Talnakh,RU,1596050145,69.49,88.4,13,71,16,5
108,Pemba,MZ,1596050234,-12.97,40.52,24,78,40,6.2
109,Sistranda,NO,1596050191,63.73,8.83,14,87,40,7.2
110,Yokadouma,CM,1596050234,3.52,15.05,21.15,95,100,0.86
111,Tskaltubo,GE,1596050234,42.33,42.6,22,94,40,2.6
112,Neyshabur,IR,1596050234,36.21,58.8,26.07,26,0,1.97
113,Dikson,RU,1596050178,73.51,80.55,9.59,75,100,4.98
114,Hanna,CA,1596050235,51.63,-111.9,26.11,69,8,0.89
115,Eyl,SO,1596050174,7.98,49.82,26.17,74,97,8.66
116,Ous,RU,1596050235,60.91,61.52,12.93,85,100,0.73
117,George Town,MY,1596050149,5.41,100.34,28,94,20,2.1
118,Tuatapere,NZ,1596049962,-46.13,167.68,11.76,77,100,3.78
119,Niğde,TR,1596050235,37.83,34.75,19.68,38,0,1.35
120,Dudinka,RU,1596050235,69.41,86.18,13,71,0,3
121,Husavik,IS,1596050160,66.04,-17.34,12,71,75,5.7
122,Huilong,CN,1596050121,31.81,121.66,28.89,88,100,4.89
123,Nikolskoye,RU,1596049923,59.7,30.79,16.11,72,20,3
124,Mossamedes,AO,1596050176,-15.2,12.15,17.74,85,99,4.1
125,Fort Nelson,CA,1596050135,58.81,-122.7,15,87,75,1.5
126,Okato,NZ,1596050236,-39.2,173.88,6.67,73,82,2.24
127,Emba,KZ,1596050236,48.83,58.14,25.27,30,100,3.86
128,Tombouctou,ML,1596050236,20,-3,39.48,21,0,2.7
129,Aitape,PG,1596050223,-3.14,142.35,25.08,82,0,2.08
130,Ponta do Sol,PT,1596050157,32.67,-17.1,23,64,40,5.7
131,Port Lincoln,AU,1596049920,-34.73,135.87,10.96,86,0,1.44
132,Severnyy,RU,1596050237,50.68,36.55,26,50,100,3
133,Labuan,MY,1596050130,5.28,115.24,25,94,20,1
134,Saint-Philippe,RE,1596049924,-21.36,55.77,21,88,20,7.7
135,Broome,US,1596049927,42.25,-75.83,29.44,42,75,2.6
136,Sargans,CH,1596050237,47.05,9.44,24.44,82,64,0.79
137,Klaksvík,FO,1596050237,62.23,-6.59,9,93,100,8.2
138,Namatanai,PG,1596050186,-3.67,152.43,26.03,80,1,2.59
139,Bubaque,GW,1596050237,11.28,-15.83,26.26,83,100,9.2
140,Esperance,AU,1596049863,-33.87,121.9,11,87,0,3.6
141,Thompson,CA,1596050133,55.74,-97.86,22,56,40,2.1
142,Tiksi,RU,1596050145,71.69,128.87,4.14,86,84,3.54
143,Along,IN,1596050238,28.17,94.77,22.66,90,100,0.33
144,Tasiilaq,GL,1596049964,65.61,-37.64,7,75,75,4.1
145,Beloha,MG,1596050178,-25.17,45.05,17.11,82,0,1.93
146,Hobart,AU,1596049963,-42.88,147.33,8.33,70,75,2.6
147,Vostok,RU,1596050186,46.49,135.88,16.03,100,0,1.17
148,Mount Gambier,AU,1596049957,-37.83,140.77,4,93,75,0.94
149,Kamaishi,JP,1596050185,39.27,141.88,17.49,85,67,2.06
150,Kourou,GF,1596050239,5.16,-52.65,31,66,19,6.2
151,Srednekolymsk,RU,1596050159,67.45,153.68,8.02,79,95,3.32
152,Saldanha,ZA,1596049925,-33.01,17.94,12,81,0,2.1
153,Hukuntsi,BW,1596050239,-24,21.75,13.44,35,0,3.78
154,Idrinskoye,RU,1596050239,54.37,92.14,15.26,81,2,1.37
155,Batagay-Alyta,RU,1596050240,67.8,130.41,5.96,73,0,0.95
156,Longyearbyen,SJ,1596050151,78.22,15.64,13,76,20,2.1
157,Ahipara,NZ,1596050240,-35.17,173.17,12.3,84,100,3.56
158,Forestville,US,1596050240,38.85,-76.88,34.44,38,1,3.1
159,Senanga,ZM,1596050240,-16.12,23.27,16.59,37,0,2.5
160,Tazovsky,RU,1596050240,67.47,78.7,9.65,86,1,2.13
161,Klyuchi,RU,1596050240,52.27,79.17,14.62,82,3,3.7
162,Cuiluan,CN,1596050241,47.72,128.65,17.48,88,0,0.65
163,Saint Anthony,US,1596050186,45.02,-93.22,28.89,42,1,3.1
164,Fairbanks,US,1596050168,64.84,-147.72,15,76,90,2.81
165,Turukhansk,RU,1596050241,65.82,87.98,15.48,59,91,3.49
166,Port Macquarie,AU,1596050241,-31.43,152.92,13.89,86,8,5.83
167,Caravelas,BR,1596050141,-17.71,-39.25,24.81,62,0,3.11
168,Guerrero Negro,MX,1596050003,27.98,-114.06,27.52,50,16,4.99
169,Sobolevo,RU,1596050158,54.43,31.9,17.41,93,100,3.54
170,Kudahuvadhoo,MV,1596049959,2.67,72.89,28.58,78,100,7.72
171,Kutum,SD,1596050242,14.2,24.67,27.07,51,23,4.18
172,Paamiut,GL,1596050139,61.99,-49.67,8.65,92,52,1.33
173,Iqaluit,CA,1596050151,63.75,-68.51,22,43,75,7.7
174,Sabang,ID,1596050242,5.89,95.32,28.33,74,100,2.62
175,Abu Dhabi,AE,1596050105,24.47,54.37,36,53,1,0.29
176,Kaya,BF,1596050242,13.09,-1.08,30.51,51,15,2.6
177,Udachny,RU,1596050233,66.42,112.4,10,76,100,3
178,Clifton,US,1596050243,40.86,-74.16,35,43,75,2.2
179,General Roca,AR,1596050243,-39.03,-67.58,11,41,0,3.51
180,Provideniya,RU,1596049966,64.38,-173.3,9.02,91,100,3.32
181,Santa Marta,CO,1596050243,11.24,-74.2,35,59,40,1.5
182,Coquimbo,CL,1596050038,-29.95,-71.34,15,67,0,6.7
183,Lagoa,PT,1596050124,39.05,-27.98,23.31,89,0,10.99
184,Cidreira,BR,1596049866,-30.18,-50.21,11.08,63,0,3.88
185,Prince Rupert,CA,1596050104,54.32,-130.32,15,87,1,2.6
186,Pevek,RU,1596050161,69.7,170.31,2.38,90,95,2.17
187,Nemuro,JP,1596050244,43.32,145.57,15.52,93,2,5.27
188,Ulladulla,AU,1596049960,-35.35,150.47,10,100,1,3.6
189,Pedasí,PA,1596050244,7.53,-80.03,28.45,73,17,0.12
190,Grindavik,IS,1596050244,63.84,-22.43,12,76,75,3.6
191,Suzun,RU,1596050244,53.78,82.31,14.28,96,75,3.4
192,Quatre Cocos,MU,1596050162,-20.21,57.76,22.22,83,75,4.1
193,Nānākuli,US,1596050245,21.39,-158.15,28,54,20,4.6
194,Qeshm,IR,1596050245,26.96,56.27,35,71,72,3.1
195,Nanortalik,GL,1596050138,60.14,-45.24,8.37,91,99,3.8
196,Salamiyah,SY,1596050245,35.01,37.05,29.28,27,0,3.9
197,Komsomol'skoye,RU,1596050245,55.26,47.55,18.87,77,100,3.41
198,Genhe,CN,1596050245,50.78,121.52,16.13,92,47,1.18
199,Rørvik,NO,1596050140,64.86,11.24,17,72,40,4.1
200,Skibbereen,IE,1596050245,51.55,-9.27,15,93,75,5.7
201,Acapulco de Juárez,MX,1596050246,16.86,-99.89,31,70,75,3.1
202,Half Moon Bay,US,1596050246,37.46,-122.43,22.22,87,90,3.6
203,Camden,US,1596050246,39.78,-74.97,34.44,42,0,3.76
204,Çermik,TR,1596050246,38.14,39.45,29,20,0,4.6
205,Kundgol,IN,1596050246,15.25,75.25,23.07,89,100,5.82
206,Sitka,US,1596050129,57.05,-135.33,16,72,1,1.27
207,Waipawa,NZ,1596050196,-41.41,175.52,10,87,2,4.1
208,Leninskoye,RU,1596050247,47.94,132.62,18.89,93,0,1.41
209,Samarai,PG,1596050149,-10.62,150.67,24.99,84,100,7.19
210,Ribeira Grande,PT,1596049968,38.52,-28.7,24,88,40,8.2
211,Esna,EG,1596050247,25.29,32.55,38,33,0,2.1
212,East London,ZA,1596050143,-33.02,27.91,16.1,71,0,3.72
213,Bonga,ET,1596050247,7.28,36.23,15.27,90,57,0.62
214,Bandarbeyla,SO,1596050154,9.49,50.81,25.89,78,95,11.36
215,Oleksandrivka,UA,1596050247,46.84,32.76,24.37,59,0,1.19
216,La Santisima Trinidad,BO,1596050095,-14.83,-64.9,25,36,40,7.2
217,Vestmanna,FO,1596050248,62.16,-7.17,9,93,82,8.2
218,Zhigansk,RU,1596050224,66.77,123.37,8.86,77,0,7.4
219,Labuhan,ID,1596049924,-6.88,112.21,22.78,76,83,4.26
220,Souillac,MU,1596050125,-20.52,57.52,22,83,75,4.1
221,Zunyi,CN,1596050248,27.69,106.91,20.59,90,99,0.8
222,Ostrovnoy,RU,1596050155,68.05,39.51,10.76,83,0,5.7
223,Acajutla,SV,1596050249,13.59,-89.83,30,51,20,2.1
224,Mount Isa,AU,1596050134,-20.73,139.5,15,41,0,4.6
225,Narsaq,GL,1596050120,60.92,-46.05,15,67,75,3.6
226,Bambous Virieux,MU,1596050120,-20.34,57.76,22.22,83,75,4.1
227,Umba,RU,1596050249,66.69,34.34,15.09,68,24,5.52
228,Vardø,NO,1596050173,70.37,31.11,12,87,75,11.8
229,Maningrida,AU,1596050250,-12.07,134.27,13.85,89,2,4.36
230,Brae,GB,1596050150,60.4,-1.35,11,87,100,10.8
231,Bijapur,IN,1596050250,16.83,75.7,24.88,82,100,3.5
232,Port Elizabeth,ZA,1596050126,-33.92,25.57,14,71,0,5.7
233,Baruun-Urt,MN,1596050250,46.68,113.28,16.78,79,100,0.35
234,Bonthe,SL,1596050250,7.53,-12.51,25.07,82,100,5.29
235,Hambantota,LK,1596050160,6.12,81.12,25,94,40,3.1
236,Manga,BF,1596050251,11.66,-1.07,26.54,74,9,1.58
237,Chui,UY,1596050143,-33.7,-53.46,11.26,62,0,2.12
238,Buala,SB,1596050138,-8.14,159.59,26.51,77,65,1.8
239,Norman Wells,CA,1596050173,65.28,-126.83,16,87,75,6.7
240,Harindānga,IN,1596050251,22.04,88.32,29,94,20,2.6
241,Bulawayo,ZW,1596050251,-20.15,28.58,12.44,51,0,2.46
242,Cuamba,MZ,1596050251,-14.8,36.54,18.16,71,27,1.78
243,Krasnoslobodsk,RU,1596050252,48.71,44.57,24,29,0,2
244,Matara,LK,1596050252,5.95,80.54,25.52,88,89,4.99
245,Okhotsk,RU,1596050130,59.38,143.3,16.67,76,100,7.04
246,Banjar,ID,1596050252,-8.19,114.97,24,83,40,2.1
247,Mayo,US,1596050125,38.89,-76.51,33.33,55,1,5.1
248,Quryq,KZ,1596050252,43.2,51.65,23.57,52,91,12.5
249,Moerai,PF,1596050252,-22.43,-151.33,22.06,84,100,8.57
250,Clyde River,CA,1596050120,70.47,-68.59,7,87,40,3.1
251,Fernley,US,1596050253,39.61,-119.25,33.33,16,0,0.45
252,Hualmay,PE,1596050185,-11.1,-77.61,18.64,65,12,4.62
253,Kavieng,PG,1596050120,-2.57,150.8,27.66,69,0,2.23
254,Río Gallegos,AR,1596050172,-51.62,-69.22,4,64,49,6.2
255,La Maddalena,IT,1596050253,41.21,9.41,29,62,0,2.1
256,Batemans Bay,AU,1596050147,-35.72,150.18,5,100,2,1.84
257,Chake Chake,TZ,1596050253,-5.25,39.77,24.3,82,28,5.82
258,Atagay,RU,1596050253,55.1,99.39,14.52,91,100,1.11
259,Carauari,BR,1596050254,-4.88,-66.9,34.1,39,34,2.03
260,Bama,NG,1596050254,11.52,13.69,27.28,73,1,5.36
261,Kasongo-Lunda,CD,1596050254,-6.47,16.82,24.15,27,0,0.53
262,Saint George,US,1596049749,37.1,-113.58,37.22,9,1,2.1
263,Artesia,US,1596050228,33.87,-118.08,28.33,51,1,4.1
264,Bāglung,NP,1596050255,28.27,83.59,21.15,76,100,1.01
265,Karpathos,GR,1596050255,35.51,27.21,25,83,0,7.2
266,Shingū,JP,1596050180,33.73,135.98,23.69,92,55,1.53
267,Qaanaaq,GL,1596050142,77.48,-69.36,6.09,71,89,0.54
268,Chapais,CA,1596050166,49.78,-74.85,17,93,90,2.6
269,Hobyo,SO,1596050184,5.35,48.53,25.53,81,20,9.45
270,Avarua,CK,1596049962,-21.21,-159.78,20,94,43,6.2
271,Tommot,RU,1596050256,58.96,126.29,13.99,91,100,1.9
272,Whitehorse,CA,1596050087,60.72,-135.05,14.44,87,90,2.01
273,Vestmannaeyjar,IS,1596050256,63.44,-20.27,12,81,20,3.1
274,Mana,GF,1596050256,5.66,-53.78,29.43,70,13,4.58
275,Podgorica,ME,1596050011,42.44,19.26,30,42,0,1
276,Progreso,MX,1596050164,21.28,-89.67,34,56,75,3.6
277,Billings Metropolitan Area,US,1596050062,45.78,-108.5,32,22,75,4.6
278,Topeka,US,1596050256,39.05,-95.68,28.33,88,90,2.16
279,Port Alfred,ZA,1596049846,-33.59,26.89,14.73,76,0,5.74
280,Chikwawa,MW,1596050257,-16.03,34.8,18.88,68,0,0.93
281,Chippewa Falls,US,1596050189,44.94,-91.39,28,39,20,2.6
282,Frutal,BR,1596050257,-20.02,-48.94,28.46,36,96,2.71
283,Teya,RU,1596050257,60.38,92.63,13.52,86,100,1.57
284,Torbay,CA,1596050141,47.67,-52.73,18.89,82,40,3.6
285,Palmer,US,1596050186,42.16,-72.33,32.78,33,40,6.2
286,Key West,US,1596050249,24.56,-81.78,33,66,20,5.7
287,Mkushi,ZM,1596050258,-13.62,29.39,13.68,70,0,2.69
288,Andenes,NO,1596050258,69.31,16.12,18,72,98,2.1
289,Dzhebariki-Khaya,RU,1596050258,62.22,135.8,9.31,56,0,2.37
290,Douglas,US,1596050172,41.3,-96.17,28.33,74,75,2.6
291,Fortuna,US,1596049841,40.6,-124.16,16.67,93,90,3.6
292,Trairi,BR,1596049966,-3.28,-39.27,27.89,63,0,6.13
293,Pradera,CO,1596050259,3.42,-76.24,31.11,58,40,2.6
294,Laguna,US,1596050259,38.42,-121.42,30,39,1,3.1
295,Pangnirtung,CA,1596050087,66.15,-65.71,12,87,40,2.1
296,Bako,ET,1596050259,5.78,36.57,18.1,79,23,2.46
297,Saskylakh,RU,1596050146,71.92,114.08,8.35,84,0,1.94
298,Morehead,US,1596050259,37.27,-87.18,31,70,90,2.1
299,São José da Coroa Grande,BR,1596050167,-8.9,-35.15,24.69,76,57,7.33
300,Abalak,RU,1596050260,58.13,68.59,9.56,75,50,0.99
301,Broken Hill,AU,1596050167,-31.95,141.43,4,48,0,2.1
302,Bushehr,IR,1596050201,28.97,50.84,35,67,0,2.1
303,Piteå,SE,1596050160,65.32,21.48,17,88,100,2.6
304,Kaitangata,NZ,1596049926,-46.28,169.85,8.89,76,100,1.5
305,Flinders,AU,1596050260,-34.58,150.86,11.11,84,4,0.89
306,Kapaa,US,1596049939,22.08,-159.32,27,74,40,8.2
307,Aklavik,CA,1596049969,68.22,-135.01,10,93,90,2.6
308,Manavālakurichi,IN,1596050261,8.13,77.3,25,88,75,2.6
309,Tromsø,NO,1596050201,69.65,18.96,19,59,100,4.1
310,Ascension,US,1596050261,30.22,-90.9,32.78,59,100,4.1
311,Catherinas Lust,GY,1596050261,6.4,-57.6,29.17,75,59,3.85
312,Kiunga,PG,1596050262,-6.12,141.29,23.18,94,100,1.08
313,Isangel,VU,1596050176,-19.55,169.27,24,73,8,3.1
314,Kiama,AU,1596050262,-34.68,150.87,11.11,85,5,0.45
315,Lamesa,US,1596050262,32.74,-101.95,36,25,75,9.3
316,Kholtoson,RU,1596050262,50.3,103.31,12.31,90,74,0.78
317,Banepā,NP,1596050262,27.63,85.52,22,94,75,1
318,Cameron Park,US,1596050218,38.67,-120.99,33.33,22,0,0.89
319,Korla,CN,1596050146,41.76,86.15,30,61,100,8.66
320,Kattivākkam,IN,1596050137,13.22,80.32,27,94,75,1
321,Weyburn,CA,1596050091,49.67,-103.85,31.67,41,100,4.47
322,Östersund,SE,1596050263,63.18,14.64,14,93,100,2.1
323,Yangi Marg`ilon,UZ,1596050156,40.43,71.72,25,47,17,3.1
324,Prizren,XK,1596050263,42.21,20.74,25.56,47,0,3.1
325,Evensk,RU,1596050263,61.95,159.23,11.38,72,17,4.6
326,Sola,VU,1596049960,-13.88,167.55,26,88,90,2.6
327,Hasaki,JP,1596050135,35.73,140.83,20,94,75,3.6
328,Jasper,US,1596050206,37.2,-94.35,28,74,75,5.1
329,Biskamzha,RU,1596050264,53.45,89.53,14.37,90,97,0.4
330,Dehui,CN,1596050264,44.53,125.7,20,88,100,5
331,Muros,ES,1596050264,42.78,-9.06,25,67,0,0.45
332,Pindiga,NG,1596050264,9.98,10.93,23.9,87,100,3.25
333,Srbac,BA,1596050264,45.1,17.52,26,57,7,1
334,Nikolayevskaya,RU,1596050264,47.61,41.5,24.18,40,0,1.5
335,La Rioja,ES,1596050265,42.25,-2.5,33,33,20,2.1
336,Camacha,PT,1596050130,33.08,-16.33,22,68,75,5.1
337,Blind River,CA,1596050265,46.18,-82.96,24,60,75,3.6
338,Constitución,CL,1596050132,-35.33,-72.42,13.69,50,100,1.54
339,Port Hardy,CA,1596050130,50.7,-127.42,14,82,75,2.1
340,Manicoré,BR,1596049927,-5.81,-61.3,35.99,26,0,1.89
341,Qui Nhon,VN,1596049966,13.77,109.23,26.83,79,100,1.87
342,Oranjestad,AW,1596050265,12.52,-70.03,31,66,20,5.7
343,Sioux Lookout,CA,1596050194,50.1,-91.92,19,72,75,4.6
344,Pandan,PH,1596050180,14.05,124.17,26.33,86,100,3.89
345,Valday,RU,1596050266,57.97,33.25,16.97,96,100,5.11
346,Tres Picos,MX,1596050266,15.87,-93.53,30.85,66,100,1.74
347,Christchurch,NZ,1596049950,-43.53,172.63,10,93,56,4.6
348,Bathsheba,BB,1596050126,13.22,-59.52,30,79,40,8.7
349,Livingstonia,MW,1596050266,-10.61,34.11,15.38,78,2,1.8
350,Tessalit,ML,1596050123,20.2,1.01,38.82,12,0,3.04
351,Sørland,NO,1596050189,67.67,12.69,16.21,74,63,3.28
352,Kacarevo,RS,1596050267,44.97,20.7,28,57,0,1.5
353,Cabo San Lucas,MX,1596050083,22.89,-109.91,31.11,48,40,6.7
354,Dalvik,IS,1596050267,65.97,-18.53,12,71,75,5.7
355,Banikoara,BJ,1596050267,11.3,2.44,25.47,80,2,2.01
356,Rawson,AR,1596049959,-43.3,-65.1,10.19,48,0,6.8
357,Auki,SB,1596050267,-8.77,160.7,25.63,80,34,0.36
358,Sakakah,SA,1596050164,29.97,40.21,43,10,40,3.1
359,Aurillac,FR,1596050268,44.92,2.45,28,45,0,2.6
360,Beisfjord,NO,1596050268,68.38,17.6,19,77,51,3.1
361,Mitsamiouli,KM,1596050268,-11.38,43.28,25,83,20,5.1
362,Leningradskiy,RU,1596050135,69.38,178.42,4.54,75,1,3.19
363,Aberdeen,GB,1596050105,57.14,-2.1,14,71,75,3.1
364,Kondinskoye,RU,1596050268,59.65,67.41,11.06,63,56,1.47
365,Portland,US,1596050030,45.52,-122.68,28.33,44,20,2.6
366,Bethel,US,1596050060,41.37,-73.41,32.22,51,40,3.1
367,Jieshi,CN,1596050269,22.81,115.83,27.99,77,100,4.62
368,Katobu,ID,1596050269,-4.94,122.53,22.11,83,52,1.32
369,Codajás,BR,1596050269,-3.84,-62.06,34.79,31,0,2.06
370,Shelbyville,US,1596050169,35.48,-86.46,31,66,20,3.1
371,Richards Bay,ZA,1596050269,-28.78,32.04,18.2,87,71,2.12
372,Ozinki,RU,1596050269,51.18,49.68,21.8,49,0,1.61
373,Leshukonskoye,RU,1596050192,64.9,45.76,16.69,73,100,2.06
374,Cravo Norte,CO,1596050270,6.3,-70.2,31.51,60,1,2.98
375,Geraldton,AU,1596049964,-28.77,114.6,10,81,0,5.1
376,Kabinda,CD,1596050270,-6.13,24.48,24.55,24,2,1.13
377,Mehamn,NO,1596050270,71.04,27.85,19,63,0,7.7
378,Tautira,PF,1596050270,-17.73,-149.15,27,74,75,10.3
379,Oistins,BB,1596050270,13.07,-59.53,30,79,40,8.7
380,Boralday,KZ,1596050270,43.36,76.86,18,59,40,2
381,Birnin Kebbi,NG,1596050270,12.45,4.2,30.8,52,83,3.56
382,Port Blair,IN,1596050271,11.67,92.75,28.11,79,100,6.94
383,Onega,RU,1596050271,63.91,38.14,16.36,84,62,4.28
